entry_year,resident_on_time_reception_applications,geography,source_url
2015,2486,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2016,2491,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2017,2361,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2018,2155,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2019,2241,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2020,2228,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2021,2064,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2022,1998,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2023,1910,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2024,1866,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
2025,1795,"London Borough of Richmond upon Thames","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf"
