Observation ID,Topic,Geography,Period,Measure,Evidence type,Value,Comparator,Unit,Precision,Source ID,Source URL,Locator,Qualification
dfe-2021/22-incomePence,financial actuals,Kew Riverside Primary School,2021/22,Total income,reported actual,1077786.00,,GBP,whole pound,kew-finance-income-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/income/history?type=school&id=133343&dimension=Actuals,"Kew Riverside income history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2021/22-expenditurePence,financial actuals,Kew Riverside Primary School,2021/22,Total expenditure,reported actual,1131429.00,,GBP,whole pound,kew-finance-expenditure-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals,"Kew Riverside expenditure history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2021/22-inYearResultPence,financial actuals,Kew Riverside Primary School,2021/22,In-year result,reported actual,-53643.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2021/22-revenueReservePence,financial actuals,Kew Riverside Primary School,2021/22,Year-end revenue reserve,reported actual,167012.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2022/23-incomePence,financial actuals,Kew Riverside Primary School,2022/23,Total income,reported actual,1152466.12,,GBP,penny,kew-finance-income-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/income/history?type=school&id=133343&dimension=Actuals,"Kew Riverside income history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2022/23-expenditurePence,financial actuals,Kew Riverside Primary School,2022/23,Total expenditure,reported actual,1079134.19,,GBP,penny,kew-finance-expenditure-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals,"Kew Riverside expenditure history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2022/23-inYearResultPence,financial actuals,Kew Riverside Primary School,2022/23,In-year result,reported actual,73331.93,,GBP,penny,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2022/23-revenueReservePence,financial actuals,Kew Riverside Primary School,2022/23,Year-end revenue reserve,reported actual,240343.48,,GBP,penny,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2023/24-incomePence,financial actuals,Kew Riverside Primary School,2023/24,Total income,reported actual,1086894.00,,GBP,whole pound,kew-finance-income-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/income/history?type=school&id=133343&dimension=Actuals,"Kew Riverside income history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2023/24-expenditurePence,financial actuals,Kew Riverside Primary School,2023/24,Total expenditure,reported actual,1066589.00,,GBP,whole pound,kew-finance-expenditure-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals,"Kew Riverside expenditure history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2023/24-inYearResultPence,financial actuals,Kew Riverside Primary School,2023/24,In-year result,reported actual,20305.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2023/24-revenueReservePence,financial actuals,Kew Riverside Primary School,2023/24,Year-end revenue reserve,reported actual,260648.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2024/25-incomePence,financial actuals,Kew Riverside Primary School,2024/25,Total income,reported actual,1078683.00,,GBP,whole pound,kew-finance-income-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/income/history?type=school&id=133343&dimension=Actuals,"Kew Riverside income history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2024/25-expenditurePence,financial actuals,Kew Riverside Primary School,2024/25,Total expenditure,reported actual,1032542.00,,GBP,whole pound,kew-finance-expenditure-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals,"Kew Riverside expenditure history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2024/25-inYearResultPence,financial actuals,Kew Riverside Primary School,2024/25,In-year result,reported actual,46141.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2024/25-revenueReservePence,financial actuals,Kew Riverside Primary School,2024/25,Year-end revenue reserve,reported actual,306789.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2025/26-incomePence,financial actuals,Kew Riverside Primary School,2025/26,Total income,reported actual,1015098.00,,GBP,whole pound,kew-finance-income-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/income/history?type=school&id=133343&dimension=Actuals,"Kew Riverside income history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2025/26-expenditurePence,financial actuals,Kew Riverside Primary School,2025/26,Total expenditure,reported actual,1090201.00,,GBP,whole pound,kew-finance-expenditure-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals,"Kew Riverside expenditure history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2025/26-inYearResultPence,financial actuals,Kew Riverside Primary School,2025/26,In-year result,reported actual,-75103.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
dfe-2025/26-revenueReservePence,financial actuals,Kew Riverside Primary School,2025/26,Year-end revenue reserve,reported actual,231685.00,,GBP,whole pound,kew-finance-balance-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals,"Kew Riverside in-year balance and revenue reserve history, financial years ending 2022–2026",Financial year ends in March; DfE displayed values retain source precision.
council-openingPence,financial actuals,Kew Riverside Primary School,2025-03-31,Opening revenue reserve,reported actual,306788.79,,GBP,penny,school-balances-mar-2026,https://cabnet.richmond.gov.uk/documents/s500020983/Item%206%20Appendix%20A.pdf,"Appendix A, PDF page 1, Kew Riverside row",Revenue balance; capital balance is separate.
council-closingPence,financial actuals,Kew Riverside Primary School,2026-03-31,Closing revenue reserve,reported actual,231685.09,,GBP,penny,school-balances-mar-2026,https://cabnet.richmond.gov.uk/documents/s500020983/Item%206%20Appendix%20A.pdf,"Appendix A, PDF page 1, Kew Riverside row",Revenue balance; capital balance is separate.
council-movementPence,financial actuals,Kew Riverside Primary School,2025/26,Revenue reserve movement,reported actual,-75103.70,,GBP,penny,school-balances-mar-2026,https://cabnet.richmond.gov.uk/documents/s500020983/Item%206%20Appendix%20A.pdf,"Appendix A, PDF page 1, Kew Riverside row",Revenue balance; capital balance is separate.
