School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Kew Riverside Primary School,133343,3182039,Pupils excluding nursery,2022-05,2021/22,,142,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Reported capacity excluding nursery,2022-05,2021/22,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Pupils excluding nursery,2023-05,2022/23,,107,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Reported capacity excluding nursery,2023-05,2022/23,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Pupils excluding nursery,2024-05,2023/24,,102,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Reported capacity excluding nursery,2024-05,2023/24,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Pupils excluding nursery,2025-05,2024/25,,90,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Reported capacity excluding nursery,2025-05,2024/25,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Kew Riverside Primary School,133343,3182039,Pupils by curriculum year,2026-01,2025/26,Reception,14,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Kew Riverside Primary School,133343,3182039,Pupils by curriculum year,2026-01,2025/26,Year 1,8,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
