"Title","Publisher","Document date","Document type","Topic","Review status","Summary","Source URL","Document location and context","Access checked","Record reference","Year","Review status explanation","Research checked","Collection scope","Closure status caveat"
"First Ofsted inspection","Ofsted","2003-10-13","Inspection","School history","Reviewed","The first inspection records the school's opening in September 2002 on a temporary site and the move to a new building in autumn 2003. This is a historical baseline, not a current judgement.","https://files.ofsted.gov.uk/v1/file/790043","Inspection 13 October 2003; published 20 May 2004.","2026-09-21","inspection-2003","2003","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Ofsted inspection: Outstanding","Ofsted","2007-12-06","Inspection","School history","Reviewed","Historical inspection report recording an Outstanding judgement. Read alongside later inspections rather than treating an old rating as the school's present assessment.","https://files.ofsted.gov.uk/v1/file/906811","Inspection 6 December 2007; published 8 January 2008.","2026-09-21","inspection-2007","2007","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Curriculum development visit","Ofsted","2009-01-19","Inspection","School history","Index only","The official Ofsted index lists a curriculum development visit. Its individual report has not been reviewed for this collection.","https://reports.ofsted.gov.uk/provider/21/133343","Visit 19 January 2009; published 31 March 2009. Follow the dated entry in the index.","2026-09-21","visit-2009","2009","A reviewed official index lists the item; its individual document was not reviewed.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Interim assessment","Ofsted","2011-01-07","Inspection","School history","Index only","The official Ofsted index lists an interim assessment. Its individual report has not been reviewed for this collection.","https://reports.ofsted.gov.uk/provider/21/133343","Assessment 7 January 2011; published 17 May 2011. Follow the dated entry in the index.","2026-09-21","assessment-2011","2011","A reviewed official index lists the item; its individual document was not reviewed.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Ofsted inspection: Good","Ofsted","2012-07-04","Inspection","School history","Reviewed","Historical inspection report recording a Good judgement. Useful for tracing the school's inspection history.","https://files.ofsted.gov.uk/v1/file/2071287","Inspection 4 July 2012; published 7 September 2012.","2026-09-21","inspection-2012","2012","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Ofsted inspection: Good","Ofsted","2017-01-10","Inspection","School history","Reviewed","Historical inspection report recording a Good judgement. Educational quality is a separate question from future demand and financial viability.","https://files.ofsted.gov.uk/v1/file/2651201","Inspection 10 January 2017; published 21 February 2017.","2026-09-21","inspection-2017","2017","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Ofsted: school continues to be Good","Ofsted","2021-11-25","Inspection","School history","Reviewed","The report says the school continued to be Good and records 145 pupils on roll. That pupil count belongs to the 2021 inspection; it is not a verified September 2026 roll.","https://files.ofsted.gov.uk/v1/file/50175973","Inspection 25 November 2021; published 19 January 2022. School details on page 5.","2026-09-21","inspection-2021","2021","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Ofsted inspection: full July 2026 report (school-hosted)","Ofsted","2026-07-08","Inspection","School history","Reviewed","Strong standard in early years, inclusion, and personal development and wellbeing; Expected standard in achievement, curriculum and teaching, and leadership and governance. Attendance and behaviour Needs attention: persistent absence is the concern, while behaviour is praised. Safeguarding Standards met. Next steps include attendance and consistent teaching approaches. These are category judgements, not a single overall grade.","https://www.kewriverside.richmond.sch.uk/attachments/download.asp?file=3619&type=pdf","16-page report for URN 133343. 8 July 2026 is the inspection date; publication date not inferred. School-hosted copy linked from its Ofsted page. Judgements: PDF pages 1–5; next steps and pupil leadership/younger readers: page 6; attainment: pages 9–10. Central index still lists 2021 latest on 22 September 2026.","2026-09-22","inspection-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School Place Planning Strategy: the Kew area","Richmond Council","2023-03","Planning report","Demand & housing","Reviewed","The Kew section expected longer-term housing-related demand to fill available capacity, discussed a continued temporary reduction at Darell, and noted that the private finance initiative could complicate expansion at Kew Riverside. Housing figures and forecasts are assumptions from 2023, not current permissions or actual pupil numbers.","https://www.richmond.gov.uk/media/27676/school_place_planning_strategy.pdf","March 2023 strategy; printed page 37, planning area 7. Read assumptions against subsequent updates.","2026-09-21","strategy-2023","2023","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Schools Forum: falling rolls funding discussion","Richmond Schools Forum","2024-09-26","Meeting","Funding & buildings","Reviewed","The forum agreed to establish a Falling Rolls Fund for 2024/25, with the amount and criteria to follow. A proposed £551,530 transfer of earlier growth-fund underspend was discussed. This is not evidence of a grant awarded to Kew Riverside.","https://cabnet.richmond.gov.uk/ieListDocuments.aspx?CId=619&MId=500000433&Ver=4","26 September 2024 meeting; school place planning and funding items.","2026-09-21","forum-2024","2024","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
